environment,source_row,time_s,speed_rpm,acceleration_rpm_s,inlet_temperature_K,inlet_pressure_kPa,fuel_lbm_s
5,5036,75.525,9496.9003434425,8.47917500109994,223.251744631627,26.1131085846816,0.79387615690146
5,4025,60.36,9580.50479342099,-40.7917614816263,223.251744631627,26.1131085846816,0.717586598391219
5,4114,61.695,9512.22862937813,-62.380360426482,223.251744631627,26.1131085846816,0.688908996086078
5,4440,66.585,9269.96723356071,-14.6409322490651,223.251744631627,26.1131085846816,0.76768292772417
5,3922,58.815,9627.61849109487,-18.7588007301622,223.251744631627,26.1131085846816,0.74825403740712
5,4354,65.295,9306.50575459586,-42.1196599346029,223.251744631627,26.1131085846816,0.726660955353838
5,5649,84.72,9548.8867232137,44.5175277078958,223.251744631627,26.1131085846816,0.846694644626596
5,4966,74.475,9487.65309934174,22.4141775833053,223.251744631627,26.1131085846816,0.815066796139448
5,3020,45.285,9693.01994783562,-2.52989530354245,223.251744631627,26.1131085846816,0.77045691072274
5,5379,80.67,9436.61994998399,-1.3769247133937,223.251744631627,26.1131085846816,0.781238694773164
5,5925,88.86,9740.26487835542,20.4718526485366,223.251744631627,26.1131085846816,0.804028622333006
5,3094,46.395,9676.61780115767,-28.5652282270548,223.251744631627,26.1131085846816,0.731853924911586
5,3403,51.03,9548.20917231034,-14.5226852681591,223.251744631627,26.1131085846816,0.757575683222146
5,5176,77.625,9478.5120229589,-25.1467157091782,223.251744631627,26.1131085846816,0.744469207245543
5,5079,76.17,9496.0420273388,-5.4509135958887,223.251744631627,26.1131085846816,0.773056302463263
6,4483,67.23,9264.6975373603,0.13746705509883,278.15003037209,99.298846116789,1.67175346472407
6,5982,89.715,9749.13970564996,9.43246534672639,278.15003037209,99.298846116789,2.75439358956016
6,4114,61.695,9514.70897997328,-61.3587950160003,278.15003037209,99.298846116789,2.10559387894496
6,5613,84.18,9519.29426880344,55.3057500310107,278.15003037209,99.298846116789,2.29767379405451
6,5059,75.87,9497.27776318699,-3.10470702191514,278.15003037209,99.298846116789,2.15599082399025
6,4342,65.115,9317.00078281829,-49.9488992262177,278.15003037209,99.298846116789,1.69432669764622
6,4671,70.05,9322.02837849834,47.0018322227787,278.15003037209,99.298846116789,1.84748234110824
6,3156,47.325,9653.2797365038,-31.0908138663941,278.15003037209,99.298846116789,2.46912800726113
6,5815,87.21,9678.93463685083,47.4253217997078,278.15003037209,99.298846116789,2.65310104570151
6,3743,56.13,9617.13961769359,16.3395102757133,278.15003037209,99.298846116789,2.46239962972577
6,4885,73.26,9454.98567393085,27.4118843671292,278.15003037209,99.298846116789,2.10679704410319
6,4233,63.48,9405.00195287763,-68.3842691704609,278.15003037209,99.298846116789,1.85044973131953
6,4422,66.315,9276.5365935505,-26.2635327433088,278.15003037209,99.298846116789,1.65427330341391
6,3358,50.355,9561.44023017591,-22.2376328125542,278.15003037209,99.298846116789,2.27528834657447
6,4597,68.94,9284.63447199456,24.1450023178241,278.15003037209,99.298846116789,1.74390320643343
6,3865,57.96,9633.92894369143,-7.05090065139194,278.15003037209,99.298846116789,2.46335153553629
6,5287,79.29,9449.8279940157,-22.7142509251819,278.15003037209,99.298846116789,2.01797922348208
6,4032,60.465,9577.60462532523,-44.7480659577854,278.15003037209,99.298846116789,2.2781083149022
6,5722,85.815,9605.39352670881,59.2456685411298,278.15003037209,99.298846116789,2.50343130486151
6,5915,88.71,9734.6713192392,31.02676634775,278.15003037209,99.298846116789,2.75626885161399
6,4794,71.895,9402.13972748072,43.4004512356613,278.15003037209,99.298846116789,2.01304255576015
6,5418,81.255,9437.61398339809,8.26103120938181,278.15003037209,99.298846116789,2.03820245915953
6,3506,52.575,9546.48907428082,10.707892980968,278.15003037209,99.298846116789,2.29169641275712
6,3610,54.135,9570.38580646947,29.7089914412431,278.15003037209,99.298846116789,2.37771848739253
6,5589,83.82,9502.1037540763,39.3418123069605,278.15003037209,99.298846116789,2.23299754944374
6,4260,63.885,9380.34649939999,-52.8976541371556,278.15003037209,99.298846116789,1.81990008419407
