time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside
94.845,9567.16513746872,0.904818402069652,9568.94521521572,9570.28701345606,0.904818402069652,0.904818402069652,0,-53.7151206496844,22.7316512437975,4,0,9144.26245498805,-9451.65663253323,269.447541514106,37.5856351443831,5.87882578075654e-10,1,0.989362555592734,0
94.86,9566.35941065898,0.904216404281876,9568.13956710479,9569.47794027049,0.904216404281876,0.904216404281876,0,-53.6514445884411,22.7447443029089,4,0,9139.37368587329,-9446.37760860386,269.447541514106,37.5856351443831,6.0191795288094e-10,1,0.989279233529809,0
94.875,9565.55463899015,0.903617658877647,9567.33482725785,9568.66973434005,0.903617658877647,0.903617658877647,0,-53.5862655196279,22.7577425365968,4,0,9134.50281881508,-9441.10797894874,269.447541514106,37.5856351443831,6.24187331194891e-10,1,0.989196010240203,0
94.89,9564.75084500736,0.903022177664185,9566.53101805252,9567.86241844143,0.903022177664185,0.903022177664185,0,-53.5195876497939,22.7706455422026,4,0,9129.6499681045,-9435.84788470616,269.447541514106,37.5856351443831,6.54826595292552e-10,1,0.989112888055359,0
94.905,9563.94805119261,0.902429972320614,9565.72816181233,9567.05601529132,0.902429972320614,0.902429972320614,0,-53.4514152257204,22.783452920798,4,0,9124.8152472449,-9430.59746643791,269.447541514106,37.5856351443831,6.93966417677441e-10,1,0.989029869300194,0
94.92,9563.14627996423,0.901841054402477,9564.92628080585,9566.25054754559,0.901841054402477,0.901841054402477,0,-53.381752531209,22.7961642770481,4,0,9119.99876897155,-9425.3568641303,269.447541514106,37.5856351443831,7.4173355614195e-10,1,0.988946956293037,0
94.935,9562.34555367626,0.901255435345812,9564.12539724599,9565.44603779854,0.901255435345812,0.901255435345812,0,-53.3106038842816,22.8087792190923,4,0,9115.20064526889,-9420.12621719508,269.447541514106,37.5856351443831,7.98249831586904e-10,1,0.988864151345573,0
94.95,9561.545894618,0.900673126469008,9563.32553328912,9564.6425085822,0.900673126469008,0.900673126469008,0,-53.2379736358785,22.8212973585033,4,0,9110.42098737716,-9414.90566446841,269.447541514106,37.5856351443831,8.63632989254599e-10,1,0.988781456762787,0
94.965,9560.74732501346,0.900094138974245,9562.52671103435,9563.8399823657,0.900094138974245,0.900094138974245,0,-53.1638661686923,22.8337183102626,4,0,9105.65990579815,-9409.69534420967,269.447541514106,37.5856351443831,9.37996110883001e-10,1,0.988698874842917,0
94.98,9559.94986702093,0.899518483947539,9561.72895252271,9563.03848155465,0.899518483947539,0.899518483947539,0,-53.0882866630101,22.8460417241733,5,0,9100.91751482787,-9404.49540301325,269.447541514106,37.5856351443831,1.49726431940141e-11,1,0.988616407877402,0
94.995,9559.15354272098,0.898946172357559,9560.93227973637,9562.23802849055,0.898946172357559,0.898946172357559,0,-53.0112380874268,22.8582671652541,5,0,9096.19391476617,-9399.30596080898,269.447541514106,37.5856351443831,1.71506168206248e-11,1,0.988534058149645,0
95.01,9558.35837414967,0.898377215130154,9560.13671459788,9561.4386454473,0.898377215130154,0.898377215130154,0,-52.9327255896208,22.87039428207,5,0,9091.48921845265,-9394.12716250806,269.447541514106,37.5856351443831,1.96289439485589e-11,1,0.988451827938445,0
95.025,9557.56438326583,0.89781162298233,9559.34227896937,9560.64035463713,0.89781162298233,0.89781162298233,0,-52.8527536914917,22.8824227043638,5,0,9086.80353332479,-9388.95914401965,269.447541514106,37.5856351443831,2.24354819488262e-11,1,0.988369719514615,0
95.04,9556.77159196046,0.897249406506604,9558.54899465177,9559.84317820661,0.897249406506604,0.897249406506604,0,-52.7713269515684,22.8943520657235,5,0,9082.1369660336,-9383.80204065472,269.447541514106,37.5856351443831,2.56002005978613e-11,1,0.988287735141955,0
95.055,9555.98002205618,0.896690576169139,9557.75688338406,9559.04713823609,0.896690576169139,0.896690576169139,0,-52.6884499658193,22.9061820036767,5,0,9077.48962243422,-9378.6559871211,269.447541514106,37.5856351443831,2.91601989094297e-11,1,0.988205877077192,0
95.07,9555.1896953067,0.896135142307657,9556.96596684249,9558.25225673912,0.896135142307657,0.896135142307657,0,-52.6041273690966,22.9179121597934,5,0,9072.86160757319,-9373.52111751875,269.447541514106,37.5856351443831,3.31538961925275e-11,1,0.988124147569925,0
95.085,9554.40063339616,0.89558311512961,9556.17626663979,9557.45855566189,0.89558311512961,0.89558311512961,0,-52.518363836088,22.9295421797794,5,0,9068.25302567843,-9368.39756533489,269.447541514106,37.5856351443831,3.76264449517555e-11,1,0.988042548862564,0
95.1,9553.61285793862,0.895034504710098,9555.38780432442,9556.66605688269,0.895034504710098,0.895034504710098,0,-52.4311640824777,22.9410717135778,5,0,9063.6639801477,-9363.28546343886,269.447541514106,37.5856351443831,4.26288067497399e-11,1,0.987961083190266,0
95.115,9552.82639047738,0.894489320990052,9554.60060137984,9555.87478221135,0.894489320990052,0.894489320990052,0,-52.3425328659589,22.9525004154623,5,0,9059.09457353808,-9358.18494407718,269.447541514106,37.5856351443831,4.82112831190922e-11,1,0.987879752780875,0
95.13,9552.04125248439,0.893947573774688,9553.81467922367,9555.08475338859,0.893947573774688,0.893947573774688,0,-52.2524749870876,22.9638279441205,5,0,9054.54490755652,-9353.0961388687,269.447541514106,37.5856351443831,5.44332852064681e-11,1,0.987798559854854,0
95.145,9551.25746535958,0.893409272731917,9553.030059207,9554.29599208551,0.893409272731917,0.893409272731917,0,-52.1609952901521,22.9750539627375,5,0,9050.01508305048,-9348.01917879993,269.447541514106,37.5856351443831,6.13576568189467e-11,1,0.98771750662522,0
95.16,9550.47505043023,0.892874427391686,9552.24676261362,9553.5085199029,0.892874427391686,0.892874427391686,0,-52.0680986632815,22.9861781390463,5,0,9045.50520000311,-9342.95419422064,269.447541514106,37.5856351443831,6.9050938460474e-11,1,0.987636595297474,0
95.175,9549.69402895028,0.892343047144452,9551.46481065924,9552.72235837069,0.892343047144452,0.892343047144452,0,-51.9737900394191,22.9972001454105,5,0,9041.01535752341,-9337.90131483934,269.447541514106,37.5856351443831,7.75832352989457e-11,1,0.987555828069536,0
95.19,9548.91442209969,0.891815141241083,9550.68422449077,9551.93752894727,0.891815141241083,0.891815141241083,0,-51.8780743959876,23.0081196588531,5,0,9036.5456538446,-9332.86066971944,269.447541514106,37.5856351443831,8.70313857045701e-11,1,0.987475207131674,0
95.205,9548.13625098375,0.891290718792148,9549.90502518553,9551.15405301889,0.891290718792148,0.891290718792148,0,-51.780956755246,23.0189363611091,5,0,9032.0961863182,-9327.83238727518,269.447541514106,37.5856351443831,9.7474604485499e-11,1,0.987394734666436,0
95.22,9547.35953663242,0.890769788767936,9549.12723375057,9550.37195189896,0.890769788767936,0.890769788767936,0,-51.6824421840281,23.0296499386507,5,0,9027.66705141235,-9322.81659526817,269.447541514106,37.5856351443831,1.089979154674e-10,1,0.987314412848578,0
