time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside
22.635,9499.90539310249,1.98142397846355,9500,9499.90495541529,1.98142397846355,1.98142397846355,0,0.00769637595704334,21.175442512619,7,0,19390.2064575618,-19390.1627233438,269.62980578116,80.3657259404167,2.02948875842202e-10,1,0.982074970964311,0
22.65,9499.90550854813,1.98149238141424,9500,9499.9050688474,1.98149238141424,1.98149238141424,0,0.00772724940704937,21.1703642554007,7,0,19390.1255132571,-19390.0816036019,269.614060496778,80.3516205231836,2.03502843458227e-10,1,0.982103658747709,0
22.665,9499.90562445687,1.9815606860395,9500,9499.90518280134,1.9815606860395,1.9815606860395,0,0.00775723036147166,21.1652865276927,7,0,19390.0437692652,-19389.9996892444,269.598315204651,80.3375150991384,2.04059514743182e-10,1,0.982132349105875,0
22.68,9499.90574081532,1.98162889233446,9500,9499.90529726189,1.98162889233446,1.98162889233446,0,0.00778634650820067,21.1602093289081,7,0,19389.9612254391,-19389.9169799669,269.582569904795,80.3234096683013,2.04617697777422e-10,1,0.982161042037768,0
22.695,9499.90585761052,1.98169700029361,9500,9499.90541221431,1.98169700029361,1.98169700029361,0,0.00781462471699661,21.1551326584576,7,0,19389.8778816292,-19389.8334754671,269.566824597169,80.3093042306303,2.05178731769181e-10,1,0.982189737542501,0
22.71,9499.90597482989,1.98176500991078,9500,9499.90552764431,1.98176500991078,1.98176500991078,0,0.00784209109275763,21.1500565157851,7,0,19389.7937376876,-19389.7491754489,269.551079281785,80.2951987861409,2.05741573856839e-10,1,0.982218435619124,0
22.725,9499.90609246126,1.98183292117935,9500,9499.90564353804,1.98183292117935,1.98183292117935,0,0.00786877076128897,21.1449809003441,7,0,19389.7087934657,-19389.6640796207,269.535333958645,80.2810933348393,2.06306818723648e-10,1,0.982247136266747,0
22.74,9499.90621049282,1.98190073409195,9500,9499.9057598821,1.98190073409195,1.98190073409195,0,0.00789468799899948,21.1399058115966,7,0,19389.623048812,-19389.5781876932,269.519588627729,80.2669878767038,2.06874465552087e-10,1,0.982275839484567,0
22.755,9499.90632891314,1.98196844864082,9500,9499.9058766635,1.98196844864082,1.98196844864082,0,0.00791986655772193,21.1348312490126,7,0,19389.5365035755,-19389.4914993804,269.503843289003,80.2528824117017,2.0744421594012e-10,1,0.982304545271833,0
22.77,9499.90644771114,1.98203606481764,9500,9499.90599386965,1.98203606481764,1.98203606481764,0,0.00794432907760464,21.1297572121032,7,0,19389.4491576073,-19389.4040144047,269.488097942519,80.2387769398918,2.08016069170169e-10,1,0.98233325362768,0
22.785,9499.90656687607,1.98210358261366,9500,9499.90611148835,1.98210358261366,1.98210358261366,0,0.00796809781839142,21.1246837003503,7,0,19389.3610107536,-19389.315732486,269.472352588203,80.2246714611972,2.08590619561518e-10,1,0.982361964551507,0
22.8,9499.90668639754,1.98217100201963,9500,9499.90622950777,1.98217100201963,1.98217100201963,0,0.00799119418579766,21.1196107132815,7,0,19389.2720628646,-19389.2266533526,269.456607226085,80.2105659756518,2.09166527514276e-10,1,0.98239067804256,0
22.815,9499.90680626546,1.98223832302582,9500,9499.90634791646,1.98223832302582,1.98223832302582,0,0.00801363881893973,21.1145382504263,7,0,19389.1823137877,-19389.1367767347,269.440861856164,80.1964604832562,2.09745725998955e-10,1,0.982419394100171,0
22.83,9499.90692647004,1.98230554562213,9500,9499.90646670333,1.98230554562213,1.98230554562213,0,0.00803545198753047,21.1094663113132,7,0,19389.0917633699,-19389.0461023643,269.425116478402,80.182354983975,2.10327024224895e-10,1,0.982448112723769,0
22.845,9499.90704700182,1.9823726697981,9500,9499.90658585762,1.9823726697981,1.9823726697981,0,0.00805665307830424,21.1043948954901,7,0,19389.0004114587,-19388.9546299785,269.409371092794,80.1682494778031,2.10910718861333e-10,1,0.982476833912764,0
22.86,9499.90716785161,1.98243969554289,9500,9499.90670536891,1.98243969554289,1.98243969554289,0,0.00807726125334249,21.0993240025198,7,0,19388.9082579034,-19388.8623593178,269.39362569935,80.1541439647543,2.11496065710367e-10,1,0.98250555766656,0
22.875,9499.90728901053,1.98250662284527,9500,9499.90682522708,1.98250662284527,1.98250662284527,0,0.00809729459083434,21.0942536319703,7,0,19388.8153025499,-19388.7692901254,269.377880298063,80.1400384448233,2.12084550803274e-10,1,0.982534283984625,0
22.89,9499.90741046995,1.98257345169357,9500,9499.90694542236,1.98257345169357,1.98257345169357,0,0.00811677102190234,21.0891837834139,7,0,19388.7215452452,-19388.6754221463,269.362134888907,80.1259329179862,2.12674983929814e-10,1,0.982563012866487,0
22.905,9499.90753222152,1.98264018207594,9500,9499.90706594526,1.98264018207594,1.98264018207594,0,0.00813570771628098,21.0841144564347,7,0,19388.6269858356,-19388.5807551295,269.346389471875,80.1118273842362,2.13267810303996e-10,1,0.982591744311673,0
22.92,9499.90765425713,1.98270681398007,9500,9499.90718678658,1.98270681398007,1.98270681398007,0,0.00815412155304561,21.0790456506344,7,0,19388.5316241698,-19388.4852888275,269.330644046978,80.097721843589,2.13863029110826e-10,1,0.982620478319696,0
22.935,9499.90777656896,1.98277334739334,9500,9499.90730793742,1.98277334739334,1.98277334739334,0,0.00817202861109037,21.0739773656109,7,0,19388.4354600928,-19388.389022994,269.314898614192,80.08361629602,2.14460788129142e-10,1,0.982649214890168,0
22.95,9499.90789914939,1.98283978230289,9500,9499.90742938914,1.98283978230289,1.98283978230289,0,0.00818944468849329,21.0689096009774,7,0,19388.3384934517,-19388.2919573864,269.299153173516,80.0695107415321,2.1506049218622e-10,1,0.982677954022674,0
22.965,9499.90802199106,1.98290611869544,9500,9499.90755113338,1.98290611869544,1.98290611869544,0,0.00820638507496837,21.0638423563487,7,0,19388.2407240924,-19388.1940917637,269.283407724925,80.0554051801009,2.15663180540646e-10,1,0.982706695716875,0
22.98,9499.90814508683,1.98297235655748,9500,9499.90767316203,1.98297235655748,1.98297235655748,0,0.00822286446906826,21.0587756313581,7,0,19388.1421518612,-19388.0954258886,269.267662268432,80.0412996117415,2.16268109459564e-10,1,0.982735439972383,0
22.995,9499.9082684298,1.9830384958751,9500,9499.90779546724,1.9830384958751,1.9830384958751,0,0.00823889718373006,21.0537094256372,7,0,19388.0427766031,-19387.9959595249,269.251916804012,80.0271940364315,2.16875575233656e-10,1,0.982764186788903,0
23.01,9499.90839201326,1.98310453663415,9500,9499.9079180414,1.98310453663415,1.98310453663415,0,0.00825449701831582,21.0486437388335,7,0,19387.9425981641,-19387.8956924401,269.236171331672,80.0130884541799,2.17485725510609e-10,1,0.982792936166103,0
23.025,9499.90851583071,1.98317047882028,9500,9499.90804087713,1.98317047882028,1.98317047882028,0,0.00826967758169585,21.043578570591,7,0,19387.8416163898,-19387.7946244025,269.220425851389,79.9989828649636,2.18098410883261e-10,1,0.982821688103731,0
