time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside
112.155,9492.48122027099,1.10504783514187,9500,9492.4945338411,13.1561469966842,1.10504783514187,0,-0.230431848258527,12.6294119768843,2,0,10736.0435013019,-10737.3518938476,1.10504783514187,1.10510514063654,1.10510510362692,3.70096193691438e-08,-0.229757679794241,-5.73795139087643e-05,1.10504783514187,0,219.455774139497,37.5898074200686,2.64899331421172e-10,1,1.08771608910312,1
112.17,9492.47776379327,1.10504785183245,9500,9492.49108346298,13.1618637149886,1.10504785183245,0,-0.230537419422449,12.6294140247748,2,0,10736.0428334741,-10737.3518249764,1.10504785183245,1.10510514063654,1.10510510360879,3.70277477568237e-08,-0.229862943769958,-5.73628595800481e-05,1.10504785183245,0,219.455774139497,37.5898074200686,2.65026869369893e-10,1,1.08771569303529,1
112.185,9492.47430573198,1.1050478685319,9500,9492.48763150408,13.1675830612189,1.1050478685319,0,-0.230643038171387,12.6294160735693,2,0,10736.0421653463,-10737.3517560748,1.1050478685319,1.10510514063654,1.10510510359031,3.7046228307247e-08,-0.229968255734965,-5.73461970935576e-05,1.1050478685319,0,219.455774139497,37.5898074200686,2.65168611805522e-10,1,1.087715296786,1
112.2,9492.4708460864,1.10504788524107,9500,9492.48417796367,13.1733050365792,1.10504788524107,0,-0.230748704043296,12.6294181232442,2,0,10736.041496922,-10737.3516871435,1.10504788524107,1.10510514063654,1.10510510357113,3.70654129611125e-08,-0.230073615749578,-5.73295262908193e-05,1.10504788524107,0,219.455774139497,37.5898074200686,2.65285269720859e-10,1,1.08771490035518,1
112.215,9492.46738485584,1.10504790195712,9500,9492.48072284103,13.1790296422739,1.10504790195712,0,-0.230854418892142,12.6294201738792,2,0,10736.040828188,-10737.3516181801,1.10504790195712,1.10510514063654,1.10510510355282,3.70837174301641e-08,-0.23017902370724,-5.73128468549868e-05,1.10504790195712,0,219.455774139497,37.5898074200686,2.65398603181463e-10,1,1.08771450374274,1
112.23,9492.46392203956,1.1050479186814,9500,9492.47726613544,13.1847568795077,1.1050479186814,0,-0.230960181799337,12.6294222254378,2,0,10736.0401591507,-10737.3515491856,1.1050479186814,1.10510514063654,1.10510510353452,3.71020218992157e-08,-0.230284479495604,-5.72961591821432e-05,1.1050479186814,0,219.455774139497,37.5898074200686,2.65535358934478e-10,1,1.08771410694859,1
112.245,9492.46045763683,1.10504793541568,9500,9492.47380784619,13.1904867494861,1.10504793541568,0,-0.231065991705019,12.6294242778712,2,0,10736.0394898177,-10737.3514801616,1.10504793541568,1.10510514063654,1.10510510351533,3.71212063310367e-08,-0.230389983237386,-5.72794632722886e-05,1.10504793541568,0,219.455774139497,37.5898074200686,2.65652621295198e-10,1,1.08771370997266,1
112.26,9492.45699164696,1.10504795215542,9500,9492.47034797256,13.1962192534152,1.10504795215542,0,-0.231171851634474,12.6294263313054,2,0,10736.0388201679,-10737.351411104,1.10504795215542,1.10510514063654,1.10510510349773,3.71388069186906e-08,-0.230495534911591,-5.72627587294396e-05,1.10504795215542,0,219.455774139497,37.5898074200686,2.65762176965794e-10,1,1.08771331281486,1
112.275,9492.45352406918,1.10504796890309,9500,9492.46688651382,13.2019543925015,1.10504796890309,0,-0.23127775994044,12.6294283856742,2,0,10736.0381502125,-10737.351342015,1.10504796890309,1.10510514063654,1.10510510348013,3.71564072843e-08,-0.230601134505482,-5.72460462663262e-05,1.10504796890309,0,219.455774139497,37.5898074200686,2.65885332677003e-10,1,1.0877129154751,1
112.29,9492.45005490278,1.10504798565867,9500,9492.46342346926,13.2076921679523,1.10504798565867,0,-0.231383716683424,12.6294304409773,2,0,10736.0374799513,-10737.3512728945,1.10504798565867,1.10510514063654,1.10510510346253,3.7174007871954e-08,-0.230706782154477,-5.72293258830483e-05,1.10504798565867,0,219.455774139497,37.5898074200686,2.65989146107557e-10,1,1.08771251795332,1
112.305,9492.44658414703,1.10504800242534,9500,9492.45995883815,13.2134325809752,1.10504800242534,0,-0.231489719708088,12.6294324971268,2,0,10736.0368093995,-10737.3512037456,1.10504800242534,1.10510514063654,1.10510510344335,3.71931925258195e-08,-0.230812477940713,-5.72125975795059e-05,1.10504800242534,0,219.455774139497,37.5898074200686,2.66132248544775e-10,1,1.08771212024941,1
112.32,9492.44311180124,1.10504801919959,9500,9492.45649261977,13.2191756327786,1.10504801919959,0,-0.231595771426847,12.62943455422,2,0,10736.0361385402,-10737.3511345649,1.10504801919959,1.10510514063654,1.10510510342469,3.72118489355699e-08,-0.230918222009437,-5.71958606428693e-05,1.10504801919959,0,219.455774139497,37.5898074200686,2.66258275374811e-10,1,1.0877117223633,1
112.335,9492.43963786467,1.10504803598153,9500,9492.45302481338,13.2249213245713,1.10504803598153,0,-0.231701871818277,12.6294366122556,2,0,10736.0354673735,-10737.3510653526,1.10504803598153,1.10510514063654,1.10510510340639,3.72301534046215e-08,-0.231024014162457,-5.71791153108483e-05,1.10504803598153,0,219.455774139497,37.5898074200686,2.66361182135113e-10,1,1.08771132429492,1
112.35,9492.43616233659,1.10504805277206,9500,9492.44955541829,13.2306696575625,1.10504805277206,0,-0.231808020249529,12.6294386712089,2,0,10736.0347959038,-10737.3509961094,1.10504805277206,1.10510514063654,1.1051051033879,3.72486339550449e-08,-0.231129854374995,-5.71623617418162e-05,1.10504805277206,0,219.455774139497,37.5898074200686,2.66501111228521e-10,1,1.08771092604416,1
112.365,9492.43268521628,1.10504806957021,9500,9492.44608443375,13.2364206329621,1.10504806957021,0,-0.231914217449566,12.6294407311074,2,0,10736.0341241261,-10737.3509268344,1.10504806957021,1.10510514063654,1.10510510336978,3.72667625647694e-08,-0.231235742775165,-5.71455998565364e-05,1.10504806957021,0,219.455774139497,37.5898074200686,2.66627742503913e-10,1,1.08771052761096,1
112.38,9492.42920650302,1.1050480863758,9500,9492.44261185905,13.2421742519806,1.1050480863758,0,-0.232020463520004,12.6294427919565,2,0,10736.0334520395,-10737.3508575274,1.1050480863758,1.10510514063654,1.105105103352,3.72845390117504e-08,-0.231341679297528,-5.71288298133823e-05,1.1050480863758,0,219.455774139497,37.5898074200686,2.66754524890566e-10,1,1.08771012899522,1
112.395,9492.42572619607,1.10504810319116,9500,9492.43913769347,13.2479305158289,1.10504810319116,0,-0.232126756952542,12.6294448536924,2,0,10736.0327796549,-10737.3507881906,1.10504810319116,1.10510514063654,1.10510510333334,3.73031956435455e-08,-0.231447663997822,-5.7112051770827e-05,1.10504810319116,0,219.455774139497,37.5898074200686,2.66867253901416e-10,1,1.08770973019687,1
112.41,9492.42224429472,1.10504812001421,9500,9492.43566193628,13.2536894257188,1.10504812001421,0,-0.232233099128388,12.6294469163726,2,0,10736.0321069625,-10737.3507188221,1.10504812001421,1.10510514063654,1.10510510331504,3.73215001125971e-08,-0.231553697052998,-5.70952653327874e-05,1.10504812001421,0,219.455774139497,37.5898074200686,2.66991316279305e-10,1,1.08770933121582,1
112.425,9492.41876079823,1.10504813684619,9500,9492.43218458675,13.2594509828621,1.10504813684619,0,-0.232339489271971,12.6294489799633,2,0,10736.0314339677,-10737.3506494229,1.10504813684619,1.10510514063654,1.10510510329638,3.73401565223475e-08,-0.23165977833181,-5.70784706577367e-05,1.10504813684619,0,219.455774139497,37.5898074200686,2.67122178677278e-10,1,1.08770893205199,1
112.44,9492.41527570589,1.10504815368411,9500,9492.42870564415,13.2652151884718,1.10504815368411,0,-0.23244592943759,12.6294510445485,2,0,10736.0307606562,-10737.3505799904,1.10504815368411,1.10510514063654,1.10510510327896,3.73575810286297e-08,-0.231765907945511,-5.70616675873017e-05,1.10504815368411,0,219.455774139497,37.5898074200686,2.67228712113131e-10,1,1.08770853270529,1
112.455,9492.41178901695,1.10504817053199,9500,9492.42522510778,13.2709820437608,1.10504817053199,0,-0.232552416897275,12.6294531100179,2,0,10736.030087047,-10737.3505105279,1.10504817053199,1.10510514063654,1.10510510326048,3.7376061579053e-08,-0.231872085818435,-5.70448566758388e-05,1.10504817053199,0,219.455774139497,37.5898074200686,2.67361085626139e-10,1,1.08770813317565,1
112.47,9492.4083007307,1.10504818738958,9500,9492.42174297689,13.2767515499431,1.10504818738958,0,-0.232658951830228,12.6294551763769,2,0,10736.029413139,-10737.3504410357,1.10504818738958,1.10510514063654,1.10510510324129,3.7395246010874e-08,-0.231978312095547,-5.70280374481282e-05,1.10504818738958,0,219.455774139497,37.5898074200686,2.67504641394545e-10,1,1.08770773346297,1
112.485,9492.40481084642,1.10504820425405,9500,9492.41825925076,13.282523708233,1.10504820425405,0,-0.232765536242982,12.6294572437054,2,0,10736.0287389182,-10737.3503715108,1.10504820425405,1.10510514063654,1.10510510322299,3.74135507019702e-08,-0.232084586769344,-5.70112095874233e-05,1.10504820425405,0,219.455774139497,37.5898074200686,2.67610721494826e-10,1,1.08770733356718,1
112.5,9492.40131936338,1.10504822112746,9500,9492.41477392867,13.2882985198452,1.10504822112746,0,-0.232872168738404,12.6294593119477,2,0,10736.0280643942,-10737.3503019552,1.10504822112746,1.10510514063654,1.10510510320433,3.74322071117206e-08,-0.232190909739845,-5.69943734896074e-05,1.10504822112746,0,219.455774139497,37.5898074200686,2.67735539428713e-10,1,1.08770693348819,1
112.515,9492.39782628085,1.10504823800821,9500,9492.41128700989,13.2940759859952,1.10504823800821,0,-0.232978850398648,12.6294613811477,2,0,10736.0273895597,-10737.3502323675,1.10504823800821,1.10510514063654,1.1051051031862,3.74503357214451e-08,-0.232297281089554,-5.69775289964071e-05,1.10504823800821,0,219.455774139497,37.5898074200686,2.67851744003181e-10,1,1.08770653322592,1
112.53,9492.39433159809,1.10504825489959,9500,9492.4077984937,13.2998561078988,1.10504825489959,0,-0.233085579048404,12.6294634512155,2,0,10736.0267144297,-10737.3501627504,1.10504825489959,1.10510514063654,1.10510510316684,3.74696962346377e-08,-0.232403700773081,-5.69606763453325e-05,1.10504825489959,0,219.455774139497,37.5898074200686,2.67987593080583e-10,1,1.08770613278029,1
