Kd,Ki,Kp,accelTau,accelWeight,accepted,altitude_m,candidate,compressor_Nc_outside_percent,environment,events_inside_1pct_throughout,fallback_percent,first_failure_eval_s,fuel_limit_percent,fuel_peak_lbm_s,gp_outside_percent,iae_rpm_s,isa_delta_C,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,minimum_margin_percent,mode,peak_rpm,phase,recovery_1pct_speed_s,ringing_excess_TV_lbm_s,rmse_rpm,settling_to_point1_rpm_s,wall_seconds,rmse_ratio,ringing_ratio,joint_score,beats_base_both
0.001,0.05,0.018,0.06,1,1,4000,42,0,36,6,0,NaN,0,2.03893273246562,0.949841693051158,54.5942843379016,5,0.494741412421627,4.8158181432924,10.5440073590317,3,20.6870492637881,tune,0,0.732875674754249,2.84142460666987,1.755,30.7858232,1.12244189165964,0.360945912180988,1.12244189165964,0
0.002,0.035,0.0125,0.06,1,1,4000,43,0,36,6,0,NaN,0,2.0284122299128,0.899850024995834,92.1946066387534,5,0.483343517911672,5.37258441841358,10.8478912174392,3,20.136293848147,tune,0,0.858724337255816,3.81795342343316,3.33,33.5537412,1.50819798378857,0.422927175645105,1.50819798378857,0
0.002,0.05,0.0125,0.06,1,1,4000,44,0,36,6,0,NaN,0,2.04225541661493,0.84985835694051,73.866659252327,5,0.497186705328093,5.41486267309099,10.6301869184167,3,19.2157502368882,tune,0,0.986052548994243,3.24148198155857,2.79000000000001,33.2968315,1.28047570173801,0.485637126480506,1.28047570173801,0
0.002,0.035,0.018,0.06,1,1,4000,45,0,36,6,0,NaN,0,2.01316312344063,0.749875020829862,77.804892957366,5,0.483495985564981,6.15069163477607,11.0171200682339,3,17.580619163411,tune,0,1.10115194008227,3.23001086744705,2.565,33.0285063,1.27594429203861,0.542324305682727,1.27594429203861,0
0.002,0.05,0.018,0.06,1,1,4000,46,0,36,6,0,NaN,0,2.02457896957777,0.749875020829862,58.5791659572163,5,0.492814835385315,6.1928716005785,10.8204659362207,3,17.4779506581544,tune,0,1.19549352004832,2.74180650602739,2.145,22.5872009,1.08308996619725,0.588788131418058,1.08308996619725,0
0,21,1.5,0.03,1,1,4000,47,0,36,6,0,NaN,0,2.07484901225707,0.649891684719213,87.6092491318283,5,0.552459969632213,7.9989468228509,9.99371591570868,1,15.4047792802503,tune,0,1.61507138708436,2.54120242820221,Inf,50.0086513,1.00384576592525,0.79543288872844,1.00384576592525,0
0,22,1.5,0.03,1,1,4000,48,0,36,6,0,NaN,0,2.08581938891155,0.649891684719213,83.6356184542756,5,0.563034252520638,8.10553925978027,9.81135535767976,1,15.3428988853975,tune,0,1.79809574801825,2.43866609628209,Inf,41.0985415,0.96334105779606,0.885573545847094,0.96334105779606,1
0,21,1.25,0.03,1,1,4000,49,0,36,6,0,NaN,0,2.08556987385124,0.699883352774538,87.6841950781389,5,0.558101435139431,7.13625564719444,9.80128499644959,1,16.5808588612726,tune,0,1.63430730610573,2.57638296641199,Inf,35.5325226,1.01774305877092,0.80490670069544,1.01774305877092,0
0,22,1.25,0.03,1,1,4000,50,0,36,6,0,NaN,0,2.09774838358969,0.649891684719213,83.6998703377226,5,0.570194763562528,7.24284846675752,9.60114496644829,1,16.4601339721794,tune,0,1.87282172861832,2.4734249829611,Inf,29.7082233,0.977071786538392,0.92237656464064,0.977071786538392,1
0,20,1.75,0.03,1,1,4000,51,0,36,6,0,NaN,0,2.0630168763243,0.599900016663889,91.8979199506531,5,0.545197116048265,8.71599096585179,10.2019259891101,1,14.5073446929855,tune,0,1.68095100167116,2.62367334807798,Inf,20.0950373,1.03642407720438,0.827879016223584,1.03642407720438,0
