time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,DOB_compensation,GPR_FF,GPR_nominalFuel,GPR_referenceAcceleration,GPR_querySpeed,GPR_speedGuard,max_flow_error,valid
72.81,8999.97836568227,1.13370416860578,9000,8999.9753477534,1.13370416860578,1.13370416860578,0,0.045755954759267,30.1733656146796,5,589.46226056395,12554.7563422449,-11965.0480954187,-0,0,0.98231214185125,0,9000,1,3.94805979042128e-10,1
72.825,8999.9790520216,1.13370279632926,9000,8999.97612988739,1.13370279632926,1.13370279632926,0,0.0443037655673776,30.1734227604298,5,589.46226056395,12554.7523656947,-11965.051936577,-0,0,0.98231214185125,0,9000,1,3.82218652779066e-10,1
72.84,8999.97971657808,1.13370146789194,9000,8999.976887195,1.13370146789194,1.13370146789194,0,0.0428978703410923,30.173478083975,5,589.46226056395,12554.7485167704,-11965.0556561434,-0,0,0.98231214185125,0,9000,1,3.70031366160267e-10,1
72.855,8999.98036004613,1.13370018188358,9000,8999.97762046499,1.13370018188358,1.13370018188358,0,0.0415367843010729,30.1735316437821,5,589.46226056395,12554.7447913411,-11965.0592579804,-0,0,0.98231214185125,0,9000,1,3.58235000392362e-10,1
72.87,8999.9809830979,1.1336989369233,9000,8999.97833046169,1.1336989369233,1.1336989369233,0,0.0402190587455789,30.1735834969172,5,589.46226056395,12554.7411853285,-11965.0627458084,-0,0,0.98231214185125,0,9000,1,3.46820172362684e-10,1
72.885,8999.98158638378,1.13369773166368,9000,8999.97901792552,1.13369773166368,1.13369773166368,0,0.0389432839358895,30.1736336989368,5,589.46226056395,12554.7376947311,-11965.066123215,-0,0,0.98231214185125,0,9000,1,3.35776573852096e-10,1
72.9,8999.98217053304,1.13369656479441,9000,8999.97968357358,1.13369656479441,1.13369656479441,0,0.0377080911061288,30.1736823037911,5,589.46226056395,12554.7343156442,-11965.0693936639,-0,0,0.98231214185125,0,9000,1,3.25093632322437e-10,1
72.915,8999.9827361544,1.13369543504546,9000,8999.98032810021,1.13369543504546,1.13369543504546,0,0.0365121544647324,30.1737293637448,5,589.46226056395,12554.7310442782,-11965.0725605029,-0,0,0.98231214185125,0,9000,1,3.14759717971855e-10,1
72.93,8999.98328383672,1.13369434118938,9000,8999.98095217756,1.13369434118938,1.13369434118938,0,0.0353541923594725,30.1737749293221,5,589.46226056395,12554.7278769733,-11965.0756269717,-0,0,0.98231214185125,0,9000,1,3.04763333152176e-10,1
72.945,8999.98381414961,1.13369328204291,9000,8999.98155645618,1.13369328204291,1.13369328204291,0,0.0342329677317391,30.1738190492751,5,589.46226056395,12554.7248102084,-11965.0785962086,-0,0,0.98231214185125,0,9000,1,2.95092848054159e-10,1
