ratio,factor
3.04,0.094005996085628
3.05,0.0925526565530829
3.06,0.0911171233042919
3.07,0.0896992659210962
3.08,0.0882989533193063
3.09,0.0869160537856856
3.1,0.0855504350145161
3.11,0.084201964143744
3.12,0.0828705077906982
3.13,0.0815559320873803
3.14,0.0802581027153191
3.15,0.0789768849399886
3.16,0.0777121436447843
3.17,0.0764637433645551
3.18,0.0752315483186871
3.19,0.0740154224437377
3.2,0.0728152294256151
3.21,0.0716308327313036
3.22,0.0704620956401295
3.23,0.0693088812745676
3.24,0.0681710526305854
3.25,0.0670484726075235
3.26,0.0659410040375109
3.27,0.0648485097144138
3.28,0.063770852422316
3.29,0.0627078949635318
3.3,0.0616595001861482
3.31,0.0606255310110984
3.32,0.0596058504587637
3.33,0.0586003216751055
3.34,0.0576088079573266
3.35,0.0566311727790609
3.36,0.0556672798150948
3.37,0.0547169929656159
3.38,0.0537801763799952
3.39,0.052856694480099
3.4,0.0519464119831334
3.41,0.0510491939240227
3.42,0.0501649056773223
3.43,0.0492934129786666
3.44,0.0484345819457561
3.45,0.0475882790988817
3.46,0.0467543713809912
3.47,0.0459327261772979
3.48,0.0451232113344337
3.49,0.04432569517915
3.5,0.0435400465365664
3.51,0.0427661347479728
3.52,0.042003829688183
3.53,0.0412530017824481
3.54,0.0405135220229264
3.55,0.0397852619847175
3.56,0.0390680938414609
3.57,0.0383618903805027
3.58,0.037666525017634
3.59,0.0369818718114038
3.6,0.0363078054770101
3.61,0.0356442013997722
3.62,0.0349909356481875
3.63,0.034347884986578
3.64,0.0337149268873277
3.65,0.0330919395427164
3.66,0.0324788018763537
3.67,0.031875393554216
3.68,0.0312815949952915
3.69,0.0306972873818367
3.7,0.0301223526692485
3.71,0.0295566735955568
3.72,0.0290001336905407
3.73,0.0284526172844728
3.74,0.0279140095164972
3.75,0.0273841963426436
3.76,0.0268630645434833
3.77,0.0263505017314313
3.78,0.0258463963576984
3.79,0.0253506377188989
3.8,0.024863115963317
3.81,0.0243837220968383
3.82,0.0239123479885495
3.83,0.0234488863760118
3.84,0.0229932308702122
3.85,0.0225452759601982
3.86,0.0221049170173995
3.87,0.0216720502996424
3.88,0.0212465729548616
3.89,0.0208283830245132
3.9,0.0204173794466953
3.91,0.0200134620589794
3.92,0.0196165316009586
3.93,0.0192264897165168
3.94,0.018843238955824
3.95,0.0184666827770624
3.96,0.0180967255478879
3.97,0.0177332725466328
3.98,0.0173762299632527
3.99,0.017025504900025
4,0.0166810053720006
4.01,0.0163426403072166
4.02,0.0160103195466733
4.03,0.0156839538440799
4.04,0.015363454865375
4.05,0.0150487351880251
4.06,0.0147397083001073
4.07,0.0144362885991799
4.08,0.0141383913909456
