accepted,rmse_rpm,peak_rpm,iae_rpm_s,minimum_margin_percent,fuel_peak_lbm_s,fuel_limit_percent,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,settling_to_point1_rpm_s,recovery_1pct_speed_s,events_inside_1pct_throughout,first_failure_eval_s,case_index,method,rpm,fraction,shape,Kp,Ki,gp_replay_error,wall_seconds
1,6.71204757313371,56.3292415349424,137.688900699365,4.93275882788515,3.32371885678094,0,4.31469919715359,1.4742474967074,11.0278668060218,2.745,0,6,NaN,9,BasePI_GPRFF,9500,0.2,steps,0.025,0.05,3.92663679349425e-12,20.058139
1,4.05371156457332,33.7137317384513,114.188616039348,4.36302189108983,3.41139537577755,0,9.16946463041871,1.62266552349001,26.3856863917315,4.33500000000001,0,6,NaN,9,InvGPR_PI,9500,0.2,steps,2,30,3.57713858534225e-12,45.8395502
1,4.05371156457715,33.7137317384513,114.188616040373,4.36302189107293,3.41139537577755,0,9.16946463045769,1.62266552348789,26.3856863919916,4.33500000000001,0,6,NaN,9,InvGPR_PI_GPRFF,9500,0.2,steps,2,30,2.93609581092369e-12,44.7984807
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.155,10,BasePI,9500,0.3,steps,0.025,0.05,0,75.6913116
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.155,10,BasePI_GPRFF,9500,0.3,steps,0.025,0.05,5.4856119646729e-12,75.0005635
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.095,10,InvGPR_PI,9500,0.3,steps,2,30,1.7448265055009e-12,103.7275245
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.095,10,InvGPR_PI_GPRFF,9500,0.3,steps,2,30,1.7448265055009e-12,95.7407956
1,1.48359954946413,12.8714942119477,31.538144426173,21.0494537074136,2.19482871842441,0,1.19491299167787,0.345357358232302,2.88241672899582,2.265,0,6,NaN,11,BasePI,9500,0.05,steps,0.025,0.05,0,13.0606342
1,1.54843012273298,13.3453618220046,31.5383197565017,21.0901573428165,2.19135638813446,0,1.08867247748193,0.341885028058794,2.71239069840544,2.09999999999999,0,6,NaN,11,BasePI_GPRFF,9500,0.05,steps,0.025,0.05,5.4856119646729e-12,18.634186
1,0.930388020100661,8.0756796915357,26.0437179786605,20.5851574710239,2.22773539645034,0,2.48776109233274,0.378264036202461,6.24587518265095,3.16500000000001,0,6,NaN,11,InvGPR_PI,9500,0.05,steps,2,30,3.45123929434976e-12,36.2997981
1,0.930388020103819,8.0756796915357,26.0437179789966,20.5851574710239,2.22773539645034,0,2.48776109231343,0.378264036202461,6.24587518282465,3.16500000000001,0,6,NaN,11,InvGPR_PI_GPRFF,9500,0.05,steps,2,30,4.47308856621476e-12,39.3246637
