environment,method_id,method,accepted,altitude_m,isa_delta_C,Kp,Ki,Kd,accelTau,accelWeight,rmse_rpm,peak_rpm,ringing_excess_TV_lbm_s,recovery_1pct_speed_s,settling_to_point1_rpm_s,minimum_margin_percent,max_fuel_slew_lbm_s2,fuel_peak_lbm_s,iae_rpm_s,fuel_limit_percent,compressor_Nc_outside_percent,gp_outside_percent,fallback_percent
18,1,Base PI,1,5000,20,0.025,0.05,NaN,NaN,NaN,2.00832240816931,17.2684504006083,1.65625211480013,0,2.34,11.5569879146513,3.73519441284074,1.66941551368692,42.2220237082167,0,0,0,NaN
18,2,Previous inverse PI,1,5000,20,2,30,NaN,NaN,NaN,1.55211974043538,10.614908551619,2.92136525725242,0,Inf,11.3014195154398,8.06747858154603,1.68435637882379,56.3945856003361,0,0,0.399933344442593,NaN
18,3,R1 retuned inverse PI,1,5000,20,1.5,22,0,0.03,1,2.08440460755449,12.1324431992416,1.36851166652329,0,Inf,12.4322291665893,6.18189938292934,1.63128460910695,76.9341131123123,0,0,0.499916680553241,0
18,4,R2 split feedback,1,5000,20,16,40,0,0.03,0.05,2.13187535895816,13.948136426643,0.399135763514937,0,1.34999999999999,13.4831697315778,4.6923357963837,1.58494110480515,42.7475495832644,0,0,0.649891684719213,0
18,5,R3 normalized feedback,1,5000,20,0.025,0.1,0.002,0.03,1,1.38666272880778,11.2937987554342,1.17756909107158,0,1.35000000000001,13.0018087846205,6.51717339912562,1.60559923760554,23.9879842205857,0,0,0.499916680553241,0
19,1,Base PI,1,7500,20,0.025,0.05,NaN,NaN,NaN,1.74214617804075,15.0002795543114,1.55704607374439,0,2.19,6.6901482463037,3.20308191202008,1.4621495723507,35.929156225512,0,0,0,NaN
19,2,Previous inverse PI,1,7500,20,2,30,NaN,NaN,NaN,1.85578723862633,9.19194339158639,2.52623218575259,0,Inf,6.68447229143747,7.05391126288366,1.46280591089347,98.0214563496684,0,0,0.299950008331945,NaN
19,3,R1 retuned inverse PI,1,7500,20,1.5,22,0,0.03,1,2.51292026289448,10.5805858992389,1.18692577031019,0,Inf,7.75653754548601,5.41227837145694,1.41744750814205,133.728963753263,0,0,0.449925012497917,0
19,4,R2 split feedback,1,7500,20,16,40,0,0.03,0.05,3.93855030908604,21.3935154643059,0.565755195280248,0,3.61499999999999,8.3533465023928,3.00481106538017,1.39294375462048,101.259535467821,0,0,0.84985835694051,0
19,5,R3 normalized feedback,1,7500,20,0.025,0.1,0.002,0.03,1,1.2017052911772,9.80979712000953,1.07807031875672,0,1.32000000000001,7.89207952265104,5.55045688073134,1.41191219121474,20.8111813842801,0,0,0.349941676387269,0
20,1,Base PI,1,10000,20,0.025,0.05,NaN,NaN,NaN,1.28902275746114,11.1586720150444,1.19185550709973,0,2.05500000000001,3.28552346284238,2.38804070138194,1.09868472524937,26.4576789362009,0,0,0,NaN
20,2,Previous inverse PI,1,10000,20,2,30,NaN,NaN,NaN,1.69901524245228,6.87341693473536,1.79097347695141,0,Inf,3.42776511251784,5.09281800122234,1.09413161150896,108.72497114029,0,0,0,NaN
20,3,R1 retuned inverse PI,1,10000,20,1.5,22,0,0.03,1,2.3062605969904,7.91455856762695,0.83841221853739,0,Inf,4.45419988524188,3.90489155280281,1.06073261265514,148.218636040698,0,0,0.0499916680553241,0
20,4,R2 split feedback,1,10000,20,16,40,0,0.03,0.05,4.97750614905988,22.0416645816513,0.39448402338455,0,Inf,4.50723571502459,1.93725902050777,1.05890711692106,162.606228780883,0,0,0.599900016663889,0
20,5,R3 normalized feedback,1,10000,20,0.025,0.1,0.002,0.03,1,0.885664555775437,7.30622986013259,0.812255113261714,0,1.29000000000001,4.71758068366082,4.19035383175377,1.05237450561556,15.3207945188877,0,0,0,0
21,1,Base PI,1,0,-20,0.025,0.05,NaN,NaN,NaN,4.0069382074218,33.7859373987449,2.86629041663119,0,2.76000000000001,9.49753779512113,7.4080984695188,3.41222310560216,86.5909171309434,0,0,0,NaN
21,2,Previous inverse PI,1,0,-20,2,30,NaN,NaN,NaN,2.38192771300916,21.0938352401845,6.38035781920104,0,3.645,8.87731064748964,17.0732632369237,3.48753041852013,63.863173194902,0,0,0.599900016663889,NaN
21,3,R1 retuned inverse PI,1,0,-20,1.5,22,0,0.03,1,3.16271896882828,24.0269204779306,3.00587878783652,0,3.87,9.93550295049406,13.0976213494447,3.37780267726359,87.1977283560489,0,0,0.749875020829862,0
21,4,R2 split feedback,1,0,-20,16,40,0,0.03,0.05,2.47818742824242,23.0910160055319,3.01274110826723,0,1.83,9.69627110073087,13.327584688368,3.40296388330953,47.4764978098376,0,0,0.699883352774538,0
21,5,R3 normalized feedback,1,0,-20,0.025,0.1,0.002,0.03,1,2.78307351799053,22.7771601108288,2.16327294155538,0,1.44,10.7863334266077,13.1773858682322,3.29687907326081,48.1852170813554,0,0,0.799866688885186,0
22,1,Base PI,1,2500,-20,0.025,0.05,NaN,NaN,NaN,3.45723840230433,29.6393639438538,2.95556956664063,0,2.55,5.30833474361358,6.38393175277372,2.94599684875957,72.1405120678929,0,0,0,NaN
22,2,Previous inverse PI,1,2500,-20,2,30,NaN,NaN,NaN,3.06036973960962,18.6496802639922,5.15008214720406,0,Inf,5.35254172251075,15.0155435311751,2.94350892434184,128.735231156394,0,0,0.649891684719213,NaN
22,3,R1 retuned inverse PI,1,2500,-20,1.5,22,0,0.03,1,4.13904832749225,21.7285858964242,2.41446482397983,0,Inf,6.38316075884184,11.5375017751208,2.85421654620371,176.161197381423,0,0,0.749875020829862,0
