accepted,rmse_rpm,peak_rpm,iae_rpm_s,minimum_margin_percent,fuel_peak_lbm_s,fuel_limit_percent,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,settling_to_point1_rpm_s,recovery_1pct_speed_s,events_inside_1pct_throughout,first_failure_eval_s,environment,altitude_m,isa_delta_C,method,Kp,Ki,reference_hp,load_hp,wall_seconds,compressor_Nc_outside_percent,inlet_temperature_K,inlet_pressure_kPa,gp_replay_error,gp_outside_percent
1,1.31993162253781,11.5610137595795,26.748501165995,1.67452427551638,1.12983785653279,0,1.30109938145904,0.313601626128937,2.46975938979777,2.04000000000001,0,6,NaN,15,10000,10,BasePI,0.025,0.05,7694.94219955007,769.494219955007,3.2278557,100,233.251835360744,26.113108584684,0,0
1,21.6873398875559,44.6897708699216,1461.99116108226,2.01450128163417,1.11828426493685,0,1.74286762414552,0.314290695114524,5.04957288042944,Inf,0,6,NaN,15,10000,10,InvGPR_PI_GPRFF,2,30,7694.94219955007,769.494219955007,832.2854871,100,233.251835360744,26.113108584684,2.57160959193925e-12,0
1,2.35439289036423,20.4713888468596,49.7702884921067,19.0978280554085,1.90039373921075,0,1.93369704473092,0.545077617966193,4.56819386926091,2.44500000000001,0,6,NaN,16,0,20,BasePI,0.025,0.05,14929.4258601711,1492.94258601711,3.7501144,0,308.15000055592,99.2988461167942,0,0
1,1.58024674404487,12.8005205433074,47.9376662170993,18.4573043701845,1.94072075166002,0,3.76899076758629,0.597143388750861,9.7794755378422,4.095,0,6,NaN,16,0,20,InvGPR_PI_GPRFF,2,30,14929.4258601711,1492.94258601711,23.5443245,0,308.15000055592,99.2988461167942,2.99804625569777e-12,0.449925012497917
1,2.20955589628807,19.159559261816,46.4428074151541,15.861080623944,1.80881012728322,0,1.85428076071222,0.51396128675803,4.21419382658255,2.38500000000001,0,6,NaN,17,2500,20,BasePI,0.025,0.05,13561.219926266,1356.1219926266,3.4444532,0,291.907849723649,73.4491842176651,0,0
1,1.65091130419694,11.9541542947081,56.6908671452606,15.5444520145791,1.83005660053759,0,3.28188646544019,0.551343643009695,8.91960879585776,Inf,0,6,NaN,17,2500,20,InvGPR_PI_GPRFF,2,30,13561.219926266,1356.1219926266,22.625954,0,291.907849723649,73.4491842176651,3.88244991711417e-12,0.399933344442593
1,2.00832240816931,17.2684504006083,42.2220237082167,11.5569879146513,1.66941551368692,0,1.65625211480013,0.466532361724508,3.73519441284074,2.34,0,6,NaN,18,5000,20,BasePI,0.025,0.05,11974.0025470369,1197.4002547037,3.3893192,0,275.676843658552,53.1431818867567,0,0
1,1.55211974043538,10.614908551619,56.3945856003361,11.3014195154398,1.68435637882379,0,2.92136525725242,0.499299251426903,8.06747858154603,Inf,0,6,NaN,18,5000,20,InvGPR_PI_GPRFF,2,30,11974.0025470369,1197.4002547037,22.5556874,0,275.676843658552,53.1431818867567,2.95363733471277e-12,0.399933344442593
1,1.74214617804075,15.0002795543114,35.929156225512,6.6901482463037,1.4621495723507,0,1.55704607374439,0.409036624881776,3.20308191202008,2.19,0,6,NaN,19,7500,20,BasePI,0.025,0.05,10071.7437119707,1007.17437119707,4.1276127,0,259.439368930873,37.5811821645185,0,0
1,1.85578723862633,9.19194339158639,98.0214563496684,6.68447229143747,1.46280591089347,0,2.52623218575259,0.428460376312601,7.05391126288366,Inf,0,6,NaN,19,7500,20,InvGPR_PI_GPRFF,2,30,10071.7437119707,1007.17437119707,24.8681486,0,259.439368930873,37.5811821645185,3.68971520003925e-12,0.299950008331945
