source_id,source_row,time_s,speed_rpm,fuel_lbm_s,acceleration_rpm_s
2,3230,48.435,9555.18304304691,1.81687035635639,-100.21309998667
1,2761,41.4,9120.6731442714,2.09775284878504,586.743287122661
1,2941,44.1,9074.37251316899,0.43275018403618,-546.271945864567
1,2753,41.28,9060.09761665921,1.73881752397507,438.375366133197
2,4332,64.965,9698.79741527784,2.37645388524479,49.9554547647984
2,3346,50.175,9380.43398141622,1.4808597374802,-100.193914352502
2,4788,71.805,9928.86607509778,2.93336068385631,59.9464979593043
2,4738,71.055,9883.90918614624,2.82506351908497,59.9435618490621
1,2362,35.415,9456.25912046586,0.961870811874363,-584.668580949017
1,2723,40.83,9000.88791094813,0.769486804771139,-164.723154869566
2,3208,48.105,9588.25446965606,1.88900862819422,-100.220918676431
1,3181,47.7,9125.14890578955,2.51308303976049,801.566104494968
1,2690,40.335,9230.93940233152,0.482423731308237,-694.906420347981
1,3174,47.595,9053.17559671955,1.97772967324306,589.651373390008
1,3126,46.875,9257.91019379394,0.183863217076398,-1004.60576441452
2,5377,80.64,9300.75602621956,1.26894467867376,-150.307335777648
2,5362,80.415,9334.58417312116,1.32807968273685,-150.379322221274
1,2666,39.975,9511.34247749237,0.774224946597465,-812.90100208461
2,5225,78.36,9644.22419185974,1.93716296644949,-150.283505712764
1,2561,38.4,9849.97079640454,3.59157128245585,525.265208918962
1,2976,44.625,9034.48572598172,1.68867158520259,435.51261549737
1,2506,37.575,9313.21527238181,2.55375720682102,635.436385869463
2,4010,60.135,9457.76105189041,1.84738375910164,49.9764710834801
1,2553,38.28,9782.03844761978,3.55429096659044,593.982996966617
1,2511,37.65,9361.68779242811,2.69515227993629,661.220898346097
2,3910,58.635,9382.79807283669,1.70813670149179,49.9746736424747
2,2486,37.275,9329.65190402695,1.68625865989488,99.8834925788967
1,3172,47.565,9037.05053522054,1.83266135545043,520.083336602353
2,3974,59.595,9430.77402198958,1.79694295935941,49.9755366573875
1,2516,37.725,9411.88779137045,2.82923928749829,680.136297397981
1,2092,31.365,9210.79222864619,1.80500666131373,311.74763262483
1,2496,37.425,9223.39083435098,2.25783687277946,566.159839962807
1,3028,45.405,9723.153664469,4.17322062164892,966.329451353554
1,2294,34.395,9934.35657102767,2.40266537164301,-274.154736328402
2,3446,51.675,9230.20717085616,1.21748013352999,-100.281104370057
1,2368,35.505,9403.75121921308,0.883819835868371,-578.651582451866
2,3157,47.34,9664.94805266771,2.06037328428937,-100.317872842377
1,2998,44.955,9262.12074561306,3.03510978974647,918.648649477706
1,2996,44.925,9235.31614382445,2.90850551255263,885.254615110719
1,2999,44.97,9275.90047535523,3.09788431718228,935.183160378374
1,2995,44.91,9222.29215313057,2.84493180789776,868.266046258753
2,2312,34.665,9068.54926908709,1.23178823064581,99.8714457954685
2,2569,38.52,9454.02144393199,1.91736418693863,99.9061170668501
2,3875,58.11,9356.56114180095,1.66006535933792,49.9758574172056
1,3001,45,9304.19498308873,3.22128102118763,966.36277753788
1,2521,37.8,9463.30203921843,2.9548355915914,692.236126460466
1,2492,37.365,9190.62418605149,2.13909045936541,533.734042886207
1,2919,43.77,9331.80110035947,0.359792089831277,-940.859439455295
2,4282,64.215,9661.33067235906,2.28905789676595,49.955665711292
1,2993,44.88,9197.03781056196,2.71777023410219,832.79570112589
2,2535,38.01,9403.07150590389,1.82179621993198,99.8976549362845
1,3085,46.26,9901.27744162155,1.62588620911524,-747.364959627107
1,3084,46.245,9912.0099841473,1.69093277128736,-715.50283505032
1,2870,43.035,9953.95507390219,2.1414710003079,-470.272016606337
2,2519,37.77,9379.09661428328,1.77724269052877,99.8933391713043
2,2644,39.645,9565.98124159869,2.14993136251453,99.5667231175036
1,3087,46.29,9878.39340339704,1.49806842580826,-807.839570397355
1,2991,44.85,9172.91286132598,2.59139155098875,794.533282712447
2,3756,56.325,9267.30063787226,1.49952370393994,50.1169679538817
1,3082,46.215,9932.00823598757,1.82122747935918,-650.223201759366
1,3002,45.015,9318.6904247518,3.28143829659806,980.844109224026
