s,up,down
1.47,1.13971925,0.575307452648443
1.48,1.145152,0.570981743280047
1.49,1.15066275,0.566659562820289
1.5,1.15625,0.562341325190349
1.51,1.16191225,0.558027440564741
1.52,1.167648,0.553718315316229
1.53,1.17345575,0.549414351962142
1.54,1.179334,0.545115949112079
1.55,1.18528125,0.540823501417022
1.56,1.191296,0.536537399519852
1.57,1.19737675,0.532258030007266
1.58,1.203522,0.527985775363123
1.59,1.20973025,0.523721013923193
1.6,1.216,0.519464119831334
1.61,1.22232975,0.515215462997083
1.62,1.228718,0.510975409054676
1.63,1.23516325,0.506744319323483
1.64,1.241664,0.50252255076988
1.65,1.24821875,0.49831045597053
1.66,1.254826,0.494108383077095
1.67,1.26148425,0.489916675782375
1.68,1.268192,0.485735673287854
1.69,1.27494775,0.48156571027268
1.7,1.28175,0.477407116864048
1.71,1.28859725,0.473260218609004
1.72,1.295488,0.469125336447657
1.73,1.30242075,0.465002786687793
1.74,1.309394,0.460892880980895
1.75,1.31640625,0.456795926299557
1.76,1.323456,0.452712224916285
1.77,1.33054175,0.44864207438369
1.78,1.337662,0.444585767516055
1.79,1.34481525,0.440543592372276
1.8,1.352,0.436515832240166
1.81,1.35921475,0.432502765622117
1.82,1.366458,0.428504666222113
1.83,1.37372825,0.424521802934084
1.84,1.381024,0.420554439831587
1.85,1.38834375,0.416602836158819
1.86,1.395686,0.412667246322936
1.87,1.40304925,0.408747919887678
1.88,1.410432,0.40484510156829
1.89,1.41783275,0.400959031227719
1.9,1.42525,0.397089943874094
1.91,1.43268225,0.39323806965945
1.92,1.440128,0.389403633879717
1.93,1.44758575,0.385586856975936
1.94,1.455054,0.381787954536701
1.95,1.46253125,0.378007137301811
1.96,1.470016,0.374244611167125
1.97,1.47750675,0.3705005771906
1.98,1.485002,0.366775231599495
1.99,1.49250025,0.363068765798744
2,1.5,0.359381366380463
2.01,1.50749975,0.355713215134588
2.02,1.514998,0.352064489060633
2.03,1.52249325,0.348435360380541
2.04,1.529984,0.344825996552623
2.05,1.53746875,0.341236560286565
2.06,1.544946,0.337667209559486
2.07,1.55241425,0.334118097633043
2.08,1.559872,0.330589373071544
2.09,1.56731775,0.327081179761079
2.1,1.57475,0.323593656929628
2.11,1.58216725,0.320126939168156
