time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,altitude_m,isa_delta_C
101.865,9975.6748454667,1.33539618739585,9975,9975.67496582415,1.33539618739585,1.33539618739585,0,-0.0020698807899728,12.139358746327,8,0,12393.5454265527,-12393.5577775899,250.754471318685,40.5967219165336,8.19569252760205e-10,1,1.06936817229783,1,6977.5,7.91
101.88,9975.67481441849,1.33489075511888,9975,9975.67493463201,1.33489075511888,1.33489075511888,0,-0.00206771875771206,12.1394852535041,8,0,12389.0006686303,-12389.0130067666,250.748258500913,40.5823347658328,8.34239328817155e-10,1,1.0693814168151,1,6980,7.92
101.895,9975.67478340271,1.33438534528885,9975,9975.67490347717,1.33438534528885,1.33438534528885,0,-0.00206562990410578,12.1396117713511,8,0,12384.4560156836,-12384.4683413556,250.742045683141,40.567947615132,8.49146249860892e-10,1,1.06939466182815,1,6982.5,7.93
101.91,9975.67475241826,1.33387995790982,9975,9975.67487235838,1.33387995790982,1.33387995790982,0,-0.00206361176347262,12.1397382997838,8,0,12379.911467733,-12379.9237813627,250.735832865368,40.5535604644312,8.64293831720334e-10,1,1.06940790733688,1,6985,7.94
101.925,9975.67472146408,1.33337459298568,9975,9975.67484127439,1.33337459298568,1.33337459298568,0,-0.00206166195321808,12.1398648387205,8,0,12375.3670247988,-12375.3793267939,250.729620047594,40.5391733137305,8.7968562706194e-10,1,1.06942115334121,1,6987.5,7.95
101.94,9975.67469053915,1.33286925052028,9975,9975.67481022405,1.33286925052028,1.33286925052028,0,-0.00205977812954079,12.139991388082,8,0,12370.8226869006,-12370.8349776548,250.72340722982,40.5247861630297,8.95324925389749e-10,1,1.06943439984106,1,6990,7.96
101.955,9975.67465964248,1.33236393051727,9975,9975.67477920622,1.33236393051727,1.33236393051727,0,-0.0020579580925215,12.1401179477918,8,0,12366.2784540572,-12366.2907339511,250.717194412044,40.5103990123289,9.1121514778842e-10,1,1.06944764683636,1,6992.5,7.97
101.97,9975.67462877311,1.33185863298025,9975,9975.67474821978,1.33185863298025,1.33185863298025,0,-0.00205619971172118,12.1402445177763,8,0,12361.7343262868,-12361.7465956884,250.710981594268,40.4960118616281,9.27360373247208e-10,1,1.06946089432703,1,6995,7.98
101.985,9975.67459793012,1.33135335791259,9975,9975.67471726368,1.33135335791259,1.33135335791259,0,-0.00205450084425231,12.1403710979659,8,0,12357.1903036076,-12357.202562872,250.704768776491,40.4816247109273,9.43764286011916e-10,1,1.069474142313,1,6997.5,7.99
102,9975.6745671126,1.33084810531767,9975,9975.6746863369,1.33084810531767,1.33084810531767,0,-0.00205285956406369,12.1404976882909,8,0,12352.6463860366,-12352.6586355073,250.698555958713,40.4672375602265,9.60430044003958e-10,1,1.06948739079421,1,7000,8
102.015,9975.67453631971,1.33034287519869,9975,9975.67465543843,1.33034287519869,1.33034287519869,0,-0.00205127387822937,12.1406242886861,8,0,12348.1025735906,-12348.1148135995,250.692343140934,40.4528504095257,9.77361726211292e-10,1,1.06950063977061,1,7002.5,8.01
102.03,9975.6745055506,1.32983766755879,9975,9975.67462456733,1.32983766755879,1.32983766755879,0,-0.0020497418676462,12.1407508990872,8,0,12343.5588662865,-12343.5710971538,250.686130323155,40.4384632588249,9.94563016878453e-10,1,1.06951388924212,1,7005,8.02
102.045,9975.67447480447,1.32933248240097,9975,9975.67459372265,1.32933248240097,1.32933248240097,0,-0.00204950373818164,12.1408775312209,9,0,12339.0152707942,-12339.0275002405,250.679917505374,40.4240761081241,1.64518197976284e-10,1,1.06952713920869,1,7007.5,8.03
102.06,9975.67444406192,1.32882731972813,9975,9975.67456290352,1.32882731972813,1.32882731972813,0,-0.00204809621077911,12.1410041616563,9,0,12334.471773933,-12334.4839949805,250.673704687593,40.4096889574233,1.67811270313802e-10,1,1.06954038966827,1,7010,8.04
102.075,9975.67441334047,1.32832217966564,9975,9975.67453210423,1.32832217966564,1.32832217966564,0,-0.00204666110578606,12.141130799028,9,0,12329.9283828281,-12329.9405953123,250.667491869811,40.3953018067225,1.71163422317946e-10,1,1.06955364062278,1,7012.5,8.05
102.09,9975.67438264056,1.32781706219032,9975,9975.67450132512,1.32781706219032,1.32781706219032,0,-0.00204521285136104,12.1412574438901,9,0,12325.3850973748,-12325.3973012172,250.661279052028,40.3809146560218,1.74577285602937e-10,1,1.06956689207229,1,7015,8.05999999999999
102.105,9975.67435196236,1.32731196727815,9975,9975.67447056653,1.32731196727815,1.32731196727815,0,-0.00204376650388013,12.1413840968165,9,0,12320.841917464,-12320.854112676,250.655066234245,40.366527505321,1.78053254906305e-10,1,1.06958014401685,1,7017.5,8.06999999999999
102.12,9975.67432130587,1.3268068949058,9975,9975.67443982878,1.3268068949058,1.3268068949058,0,-0.00204233659716981,12.1415107583662,9,0,12316.2988429903,-12316.3110296699,250.64885341646,40.3521403546202,1.81592909194174e-10,1,1.06959339645649,1,7020,8.07999999999999
102.135,9975.67429067082,1.32630184505205,9975,9975.67440911208,1.32630184505205,1.32630184505205,0,-0.00204093644538821,12.1416374290496,9,0,12311.7558738571,-12311.7680521819,250.642640598675,40.3377532039194,1.85196380041967e-10,1,1.06960664939121,1,7022.5,8.08999999999999
102.15,9975.67426005677,1.32579681769849,9975,9975.67437841655,1.32579681769849,1.32579681769849,0,-0.00203957756373326,12.1417641093114,9,0,12307.2130099817,-12307.225180198,250.636427780889,40.3233660532186,1.88866035901283e-10,1,1.06961990282099,1,7025,8.09999999999999
102.165,9975.67422946311,1.32529181283029,9975,9975.67434774213,1.32529181283029,1.32529181283029,0,-0.00203826925242956,12.1418907995116,9,0,12302.6702512974,-12302.6824137069,250.630214963102,40.3089789025178,1.92601876766375e-10,1,1.06963315674581,1,7027.5,8.11
102.18,9975.67419888907,1.32478683043643,9975,9975.67431708864,1.32478683043643,1.32478683043643,0,-0.00203701844502979,12.1420174999216,9,0,12298.1275977552,-12298.1397527011,250.624002145315,40.294591751817,1.96405481602836e-10,1,1.0696464111656,1,7030,8.11999999999999
102.195,9975.67416833379,1.3242818705098,9975,9975.67428645575,1.3242818705098,1.3242818705098,0,-0.00203582970609865,12.1421442107198,9,0,12293.5850493239,-12293.5971971765,250.617789327526,40.2802046011162,2.00278034633256e-10,1,1.06965966608032,1,7032.5,8.13
102.21,9975.67413779635,1.32377693304706,9975,9975.67425584297,1.32377693304706,1.32377693304706,0,-0.00203470507632977,12.1422709319961,9,0,12289.0426059905,-12289.0547471324,250.611576509736,40.2658174504155,2.04220720080093e-10,1,1.06967292148987,1,7035,8.14
102.225,9975.67410727577,1.32327201804809,9975,9975.67422524971,1.32327201804809,1.32327201804809,0,-0.00203364479224562,12.1423976637637,9,0,12284.500267756,-12284.5124025711,250.605363691946,40.2514302997147,2.08233801099135e-10,1,1.06968617739421,1,7037.5,8.15
