time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,VR_integrator_error,VR_proportional_term,VR_speed_slope,VR_accel_slope,VR_fallback,altitude_m,isa_delta_C
132.66,9974.73709806927,1.17983595901004,9975,9974.73729437027,1.02836378468296,1.17983595901004,0,-0.00339410923223032,12.0994177991772,12,0,10909.1228625909,-10909.1431134329,1.17983595901004,1.34565640210569,1.34542501630043,0.000231385805266715,-0.0033898915531051,-0.172394863622098,1.17983595901004,1,252.707777472327,35.5967991048085,5.55630123173887e-10,1,1.06512717650013,1,0.262705629733318,0.00657442052643917,0.000878589518320107,5.37383004777571e-05,1,7890,15.78
132.675,9974.73704715763,1.18028648266567,9975,9974.73724349641,1.0285621057928,1.18028648266567,0,-0.00339473816538354,12.09919349791,12,0,10913.058816057,-10913.0790706513,1.18028648266567,1.34571159413332,1.34548056209427,0.000231032039050838,-0.00339056003969495,-0.172000805177498,1.18028648266567,1,252.718981176774,35.608858596305,5.59525774793037e-10,1,1.06510356084208,1,0.262756503590936,0.00657569370985278,0.000877076102339501,5.37561789070056e-05,1,7887.5,15.775
132.69,9974.73699623656,1.18073704023075,9975,9974.73719261276,1.02876046530669,1.18073704023075,0,-0.00339536100280044,12.0989692163217,12,0,10916.994924984,-10917.0151832944,1.18073704023075,1.34576674352717,1.34553606511769,0.000230678409481211,-0.00339122234412368,-0.171606670422111,1.18073704023075,1,252.73018488122,35.6209180878015,5.63444190532506e-10,1,1.06507994675327,1,0.262807387240173,0.00657696712569257,0.00087556376104601,5.37740597794527e-05,1,7885,15.77
132.705,9974.73694530614,1.18118763170583,9975,9974.73714171941,1.0289588632296,1.18118763170583,0,-0.00339597764344511,12.09874495438,12,0,10920.9311893676,-10920.951451357,1.18118763170583,1.34582185027545,1.3455915253587,0.000230324916748348,-0.00339187846544585,-0.171212459341251,1.18118763170583,1,252.741388585663,35.632977579298,5.67386159889149e-10,1,1.06505633423354,1,0.262858280588262,0.00657824077163743,0.000874052494946344,5.37919430685486e-05,1,7882.5,15.765
132.72,9974.73689436648,1.18163825709147,9975,9974.73709081646,1.02915729956647,1.18163825709147,0,-0.00339658820340753,12.0985207120537,12,0,10924.8676092016,-10924.8878748338,1.18163825709147,1.34587691436647,1.34564694280547,0.000229971560997688,-0.003392528403088,-0.170818171920369,1.18163825709147,1,252.752592290105,35.6450370707945,5.71351288119787e-10,1,1.06503272328272,1,0.262909183542433,0.00657951464536701,0.000872542304543329,5.38098287476904e-05,1,7880,15.76
132.735,9974.73684341765,1.18208891638818,9975,9974.73703990399,1.02935577432213,1.18208891638818,0,-0.00339719269484673,12.0982964893118,12,0,10928.804184481,-10928.8244537198,1.18208891638818,1.34593193578867,1.34570231744629,0.000229618342387106,-0.00339317215670233,-0.170423808145055,1.18208891638818,1,252.763795994546,35.657096562291,5.75339969974664e-10,1,1.06500911390065,1,0.26296009600992,0.0065807887445614,0.000871033190339603,5.38277167902363e-05,1,7877.5,15.755
132.75,9974.73679245976,1.18253960959668,9975,9974.7369889821,1.02955428750141,1.18253960959668,0,-0.00339779102685937,12.0980722861182,12,0,10932.740915201,-10932.7611880097,1.18253960959668,1.34598691453068,1.34575764926955,0.000229265261134648,-0.00339380977379232,-0.17002936800104,1.18253960959668,1,252.774999698984,35.6691560537875,5.79352205457331e-10,1,1.06498550608716,1,0.263011017899771,0.00658206306704186,0.000869525152829573,5.38456071694972e-05,1,7875,15.75
132.765,9974.7367414929,1.18299033671765,9975,9974.73693805088,1.02975283910906,1.18299033671765,0,-0.00339838313083365,12.0978481024382,12,0,10936.6778013572,-10936.6980776986,1.18299033671765,1.34604185058125,1.34581293826383,0.000228912317411956,-0.00339444128317028,-0.169634851474191,1.18299033671765,1,252.78620340342,35.681215545284,5.83388257735868e-10,1,1.06496189984209,1,0.263061949121038,0.0065833376105923,0.000868018192507357,5.38634998587344e-05,1,7872.5,15.745
132.78,9974.73669051715,1.18344109775142,9975,9974.73688711042,1.0299514291497,1.18344109775142,0,-0.00339896919349783,12.097623938246,12,0,10940.6148429431,-10940.635122781,1.18344109775142,1.34609674392923,1.34586818441791,0.000228559511325166,-0.00339506660688289,-0.169240258550509,1.18344109775142,1,252.797407107856,35.6932750367805,5.87448258396135e-10,1,1.06493829516528,1,0.263112889579133,0.0065846123726921,0.000866512309863328,5.38813948311695e-05,1,7870,15.74
132.795,9974.73663953261,1.18389189269868,9975,9974.73683616082,1.03015005762793,1.18389189269868,0,-0.00339954914392412,12.0973997935062,12,0,10944.5520399539,-10944.572323252,1.18389189269868,1.34615159456365,1.34592338772053,0.000228206843117418,-0.00339568579307795,-0.16884558921614,1.18389189269868,1,252.808610812288,35.705334528277,5.91532075859466e-10,1,1.06491469205657,1,0.263163839183107,0.00658588735116384,0.0008650075053842,5.3899292059977e-05,1,7867.5,15.735
