scenario,rpm,fraction,shape,method,edge,start_s,ramp_s,valid,peak_rpm,recovery_from_start_s,recovery_after_ramp_s
9500rpm_10pct_ramps,9500,0.1,ramps,DOB,remove,15.0,0.3,True,18.147371632840077,1.1700000000000017,0.8700000000000017
9500rpm_10pct_ramps,9500,0.1,ramps,DOB,apply,30.0,1.5,True,5.851751227830391,2.0400000000000063,0.5400000000000063
9500rpm_10pct_ramps,9500,0.1,ramps,DOB,remove,40.005,1.5,True,5.544607884790821,2.0249999999999986,0.5249999999999986
9500rpm_10pct_ramps,9500,0.1,ramps,DOB,apply,60.0,3.0,True,2.905592730579883,3.3299999999999983,0.3299999999999983
9500rpm_10pct_ramps,9500,0.1,ramps,DOB,remove,75.0,3.0,True,2.8949851105608104,3.2849999999999966,0.2849999999999966
9500rpm_10pct_ramps,9500,0.1,ramps,LESO,apply,10.005,0.3,True,18.061024695400192,1.184999999999997,0.8849999999999969
9500rpm_10pct_ramps,9500,0.1,ramps,LESO,remove,15.0,0.3,True,18.15533393834994,1.2000000000000028,0.9000000000000028
9500rpm_10pct_ramps,9500,0.1,ramps,LESO,apply,30.0,1.5,True,5.895834628980083,2.055000000000007,0.5550000000000068
9500rpm_10pct_ramps,9500,0.1,ramps,LESO,remove,40.005,1.5,True,5.549993536040347,2.039999999999999,0.5399999999999991
9500rpm_10pct_ramps,9500,0.1,ramps,LESO,apply,60.0,3.0,True,2.912628979400324,3.3299999999999983,0.3299999999999983
9500rpm_10pct_ramps,9500,0.1,ramps,LESO,remove,75.0,3.0,True,2.91590216412078,3.2849999999999966,0.2849999999999966
9500rpm_10pct_ramps,9500,0.1,ramps,UDE,apply,10.005,0.3,True,16.563869529949443,1.290000000000001,0.9900000000000009
9500rpm_10pct_ramps,9500,0.1,ramps,UDE,remove,15.0,0.3,True,16.573719415979212,1.3050000000000068,1.0050000000000068
9500rpm_10pct_ramps,9500,0.1,ramps,UDE,apply,30.0,1.5,True,5.645187500120301,2.1299999999999955,0.6299999999999955
9500rpm_10pct_ramps,9500,0.1,ramps,UDE,remove,40.005,1.5,True,5.229373535090417,2.115000000000002,0.615000000000002
9500rpm_10pct_ramps,9500,0.1,ramps,UDE,apply,60.0,3.0,True,2.8903502567391115,3.3900000000000006,0.39000000000000057
